Frequencies,ROW64,ROW128,ROW256,ROW512,ROW1024,ROW2048
50,1.54E+08,1.65E+08,3.48E+08,3.11E+08,3.85E+08,7.94E+08
100,2.93E+08,5.23E+08,6.46E+08,6.1E+08,6.75E+08,9.06E+08
150,4E+08,7.29E+08,1.17E+09,9E+08,9.7E+08,1.33E+09
200,5.19E+08,9.2E+08,1.29E+09,1.13E+09,1.24E+09,1.58E+09
250,5.78E+08,1.25E+09,1.44E+09,1.31E+09,1.48E+09,1.93E+09
300,6.58E+08,1.19E+09,1.44E+09,1.45E+09,1.59E+09,1.87E+09
350,7.38E+08,1.22E+09,1.47E+09,1.47E+09,1.69E+09,1.96E+09
400,8.36E+08,1.63E+09,1.78E+09,1.63E+09,1.73E+09,2E+09
450,8.41E+08,1.48E+09,1.61E+09,1.53E+09,1.78E+09,1.95E+09
500,9.19E+08,1.5E+09,1.71E+09,1.62E+09,1.72E+09,1.94E+09
