Frequencies,ROW64,ROW128,ROW256,ROW512,ROW1024,ROW2048
600,8.47E+07,6.95E+08,8.33E+08,9.39E+08,9.78E+08,9.82E+08
700,8.27E+07,7.73E+08,9.19E+08,9.74E+08,1.05E+09,1.11E+09
800,8.98E+07,8.24E+08,1.02E+09,1.08E+09,1.25E+09,1.26E+09
900,8.91E+07,1.09E+09,1.12E+09,1.19E+09,1.4E+09,1.37E+09
1000,8.68E+07,1.01E+09,1.21E+09,1.45E+09,1.32E+09,1.55E+09
1100,9.16E+07,1.29E+09,1.29E+09,1.49E+09,1.42E+09,1.7E+09
1200,9.32E+07,1.14E+09,1.39E+09,1.47E+09,1.52E+09,1.85E+09
1300,9.26E+07,1.58E+09,1.5E+09,1.62E+09,1.59E+09,1.97E+09
1400,1.11E+09,1.46E+09,1.9E+09,1.45E+09,1.65E+09,2.11E+09
